Nombre,Punto,X,Y,Z_MTN,Z_SRTM,decena_x*1000,decena_y,centena_x*100000,centena_y*1000000
Yerlyn,1,326000,2043000,105,,26,43,300000,2000000
Yerlyn,2,339000,2039000,205,,39,39,300000,2000000
Yerlyn,3,333000,2045000,400,,33,45,300000,2000000
Yerlyn,4,334000,2038000,505,,34,38,300000,2000000
Yerlyn,5,337000,2030000,500,,37,30,300000,2000000
Yerlyn,6,341000,2040000,490,,41,40,300000,2000000
Yerlyn,7,338000,2037000,400,,38,37,300000,2000000
Lenin,1,240000,1995000,1000,,40,95,200000,1900000
Lenin,2,238000,2001000,700,,38,1,200000,2000000
Lenin,3,243000,2008000,1680,,43,8,200000,2000000
Lenin,4,249000,2007000,620,,49,7,200000,2000000
Lenin,5,253000,2002000,1200,,53,2,200000,2000000
Lenin,6,258000,1996000,1340,,58,96,200000,1900000
Lenin,7,260000,1993000,1260,,60,93,200000,1900000
